CoalConsumptionTotal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Algeria,464000,500000,598000,599000,607000,552000,583000,578000,578000,192000
Argentina,779000,637000,538000,652000,753000,949000,255000,381000,1137000,1158000
Australia,46700089.68,48223977.98,51050928.33,49368182.03,50784652.42,53541848.08,56027186.04,54136439.24,54610502.28,54472756.37
Austria,2831000,3080000,2984000,3308000,3261000,3059000,3082000,2968000,2803000,2270000
Bangladesh,330000,350000,350000,350000,350000,371000,473000,448000,628000,628000
Belarus,92000,103000,100000,92000,114000,97000,69000,30000,30000,30000
Brazil,12509000,12215000,11451000,11770000,12770000,12663000,12536000,13359000,13483000,11262000
Bulgaria,6408000,7104000,6540000,7218000,7138000,6833000,6852000,7664000,7512000,6362000
Canada,31788955.77,33962740.04,31581327.03,27004657.49,28450869.4,33269203.21,29128809.59,29846278.78,29896436.42,25187064.11
Chile,2984000,2341000,2358850,2255500,2613000,2560350,3196700,3794253.893,4057411.674,3709301.05
China,709637722.9,720808817.3,760423128.2,900248860.3,1065598040,1186200888,1317667186,1392547877,1441058925,1579459830
Colombia,2703000,2662000,2189000,2427000,1998000,2668000,2436000,2353000,2778000,3485000
Czech Republic,20959000,21185000,20605000,20751000,20892000,20412000,21058000,21239000,19858000,17383000
Denmark,4029000,4188000,4197000,5684000,4580000,3686000,5626976.452,4724000,4103000,3990000
Egypt,1357000,1216000,1305000,1353000,1306000,1256000,1211000,1207000,1181000,1156000
Finland,3279000,3860000,4144000,5509000,5046000,2928000,4734000,4396000,3047000,3347000
France,13898000,12110000,12418000,13251000,12840000,13260000,12060000,12300000,11940000,9850800
Germany,84893000,84965000,84631000,87185000,85371000,82139103.85,83524410.05,85674023.12,80108913.73,71725422.76
Greece,9218000,9347000,9845000,9422000,9044040,8815203.9,8056476.5,8536134.9,8138995.1,8083636.7
Hungary,3246000,3420000,3106000,3351000,3069000,2681565,2869155,2894655,2838565,2491525
India,144243214.5,145189223.7,151847541.2,156801851.4,172258457.2,184437716.4,195442749.8,210271329.1,230376397.5,253823797.2
Indonesia,13739622.75,16843568.34,17993056.85,24153418.37,22190266.41,25430702.64,30131967.44,37804050,30089908.82,34621425
Iran,1066000,1060000,1143000,1107000,1035000,1199000,1236000,1311000,881000,973000
Ireland,1815000,1879000,1751000,1746000,1802000,1886000,1633000,1601000,1422000,1154000
Israel,6223000,7191000,7600000,7879000,7955000,7909532.2,7817651.753,7997457.744,7869498.42,7704588.838
Italy,12184000,13056000,13300000,13973000,15954000,15986000,16389000,16602000,16442000,12935000
Japan,98871000,103047000,106604000,112187000,120782000,121282000,119105276.9,125335313,128663577,108782008.5
Kazakhstan,23184000,22464000,22754000,25181000,26548524.24,27214737.2,29774636.65,31691102.8,33405808.94,32590697.44
Lithuania,78000,78000,126000,155000,158194.87,171714.71,238399.72,227649.98,194494.99,145534.99
Malaysia,2486000,2971000,3642000,5316000,6632000,6889000,7298000,8847000,9782000,10623000
Mexico,5902741.951,6892725.017,7784454.667,8902521.735,7093291.225,9309449.962,9133427.128,9097667.956,6770161.985,8391098.739
Netherlands,8565000,8476000,8890000,9144000,9100455,8693101.3,8455756.1,9003783.5,8477757.2,7934396.7
New Zealand,1122490.207,1398375.131,1398204.834,2006556.081,2068507.93,2286824.305,2246654.247,1713190.265,2124117.464,1605084.79
Norway,992704.8,882628,767181.6,745703.2,842356,718855.2,616161.6,678583.2,698048,492660.8
Pakistan,2028000,2105000,2360000,2910000,3764166.5,4138748,4238166,5105261,5258333.5,4677231
Peru,495151.4283,434484.5706,663322.8241,715916.6906,746059.0427,751218.1141,594821.821,825379.765,750310.4997,798963.4088
Philippines,4280000,4530000,4720000,4737000,4988314.359,5713365.756,5546643.158,5934833.907,6996838.029,6677990.255
Poland,57606000,58028000,56720000,57747000,57253063,55677797,58038981,57923838,55958903,51914289
Portugal,4533000,3678000,4106000,3760000,3699500,3805200,3794000,3301900,2909200,3273900
Romania,7038000,7161000,7602000,7760000,7379924,7583789.6,8511108.8,7367113.6,7387626.8,6608354.8
Russia,105210000,102410000,103040000,104020000,99540000,94220000,96670000,93450000,100380000,91910000
South Africa,74630564,73434763,75928535,81437510,85424805,82947920,83952530,89066450,95134500,89934000
South Korea,43034000,45711000,49095000,51113000,53125000,54770080,54787700,59654000,66060000,68604000
Spain,22347000,20105000,22679000,21046000,22000000,22514000,19849000,21865000,15470000,11791000
Sweden,1867000,2023000,2166000,2195000,2306200,2219100,2272400,2186600,1957150,1646450
Switzerland,119000,132000,115000,123000,121000,138000,136000,163000,145000,136000
Taiwan,28681597.44,30639637.12,32674439.04,35130342.4,36566424.96,38067671.68,39582019.84,41834925.44,40201025.28,38713228.16
Ukraine,39065702,39737658,38943760,40287260,39129440,37368560,39652460,39669940,40162600,35091100
United Kingdom,36728100,38911900,35710100,38103900,36616204.28,37429276.22,40932319,38387509,35615105,29912675
United States,568994601.4,552230515.5,551971466.1,562478004.8,566138816.4,574207281.9,565659081.5,573276793.1,564097242.6,496235154.4
Vietnam,4704000,4984000,5320000,5544000,8176000,8008000,9520000,10080000,10024000,14000000
