Oil Consumption total (tonnes per year),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Algeria,8498000,8795000,9744000,10134000,10598000,11039396,11519500,12904556,14012890,14900000
Argentina,20270000,19109000,17107000,17558000,18401000,19676875,20555955,23192795,24219411,23700000
Australia,37711000,38106000,37970000,38275000,38791278,39838432,41414188,41732248,42461108,42200000
Austria,11789000,12802000,13040000,14136000,13755000,14170000,14195000,13394000,13421000,13000000
Azerbaijan,6325000,3991000,3665000,4272000,4579000,5347000,4868500,4496000,3340300,3200000
Bangladesh,3217000,3877000,3876000,3991000,4029000,4554000,4491000,4540795,4639436,4800000
Belarus,6976000,7279000,7078000,7191000,7437000,7070000,7969000,7613000,7704000,9300000
Brazil,91601176,92890487,91625870,87796909,88365684,90146078,92823289,99785100,105346207,107000000
Bulgaria,3921000,4030000,4508000,5223000,4743000,4932000,5221000,5289505,5416928,5600000
Canada,88065000,90534000,92221000,95918000,100640000,100337000,99601425,102826840,102029609,97100000
Chile,10816000,10523000,10442000,10475000,11093697,11746415,12268640,16128309,16793879,15600000
China,223630000,227887000,247411000,271714000,318867000,327807029,346095300,362794600,375709800,388200000
Colombia,10451000,11063000,10003000,9989000,10104479,10337591,10844717,10657796,10723790,10500000
Denmark,10359000,9822000,9587000,9232000,9055000,9223000,9311000,9273000,8928000,8500000
Ecuador,5813000,5946000,5895000,6163000,6334511,7543116,8205749,8902797,9280152,10100000
Egypt,27200000,26082000,25244000,25920000,26821000,29819000,28664000,30560000,32618000,34400000
Finland,10686000,10521000,10881000,11364000,10573000,10985770,10554679,10627517,10532201,9900000
France,94938000,95454000,92876000,93086000,94049200,93064500,92994300,91329600,92177100,87500000
Germany,129780000,131589000,127431000,125128000,123983000,122398000,123552000,112491000,118296000,113900000
Greece,19948000,20115000,20269000,19654000,21437000,21211000,22181000,21702000,21430000,20200000
Hungary,6849000,6692000,6398000,6307000,6493000,7509000,7755000,7736000,7738000,7100000
India,106147000,106964000,111262000,113066000,120153000,119576000,120407000,128526000,135011000,151000000
Indonesia,50701970,51556647,54154895,54013933,58081574,58203124,55174345,56355255,57357339,59200000
Iran,62531837,62593636,67106616,70991825,73657689,77269699,80761696,81339959,83267458,85100000
Ireland,8216000,8967000,8785000,8534000,8921000,9375000,9323000,9416000,9031000,8000000
Italy,93527000,92799000,92897000,92075000,89659000,86674000,86703000,83974000,80904000,75100000
Japan,255458162,247535828,243558700,248901754,241146590,244119240,237475714,229307390,221798713,198700000
Kazakhstan,7400000,8900000,9300000,8800000,9000000,10000000,10953058,11606590,10892897,12100000
Kuwait,10387000,10549000,11434000,12157000,13721000,15226628,13575651,13640342,15274012,17200000
Lithuania,2372000,2740000,2530000,2420000,2596600,2777100,2806300,2791600,3063700,2600000
Malaysia,20105636,20302107,22093847,21749834,22365594,21533008,21046815,22049154,21800832,24500000
Mexico,85666000,84989000,81481000,83663000,85222805,87680925,86836154,89353695,90029224,88500000
Netherlands,41667000,43679000,43816000,44061000,46171000,49582379,48964551,45960895,46469234,49400000
New Zealand,6092570,6179760,6442870,6916700,6911350,7117157,7227838,7219340,7327450,6800000
Norway,9380000,9656000,9434000,9926000,9625453,9712100,9991749,10172528,9752704,10300000
Pakistan,18760000,18348000,17852000,15824000,15994000,15258800,17567181,19183775,19270584,20600000
Peru,7373000,6974000,6922000,6535000,7200918,7045664,6784003,7076240,7861400,8100000
Philippines,16576000,16485000,15542754,15492718,15912556,14772992,13258404,13961142,13432951,13100000
Poland,19955000,19248000,19385000,19913000,21077000,21917000,23336000,24173000,24878000,25300000
Portugal,15523000,15756000,16221000,15164000,15423000,15980000,14385000,14417152,13722737,12800000
Qatar,1481003,1691000,2352000,2085000,2276288,2693355,3267967,3968535,4635151,6200000
Romania,9979000,10604000,10645000,9425000,10854000,10509000,10311000,10338000,10591730,9200000
Russia,123520000,122300000,123500000,123374000,123320041,121872732,127078118,126215915,130432144,135200000
Saudi Arabia,68089879,69339548,70571511,75534402,79473172,82988367,87443624,96122890,104205075,117200000
Singapore,33467000,36424000,35504000,33928000,38145000,40860000,44036543,47416640,49939011,56100000
South Africa,22520000,22999000,23628000,24219000,24796314,24773068,25256711,25791433,26293548,24700000
Spain,70002000,72742000,73788000,75539000,77640000,78824000,78111000,78827000,77087000,75700000
Sweden,15243000,15208000,15153000,15902000,15272400,15051207,15513000,14715200,14533000,14600000
Switzerland,12209000,13079000,12396000,12062000,12016000,12239309,12551274,11310124,12061841,12300000
Taiwan,49133937,47441797,47619320,50861827,51329939,51348920,51703823,52499752,50127133,44100000
Thailand,31733000,30629000,33077000,35070000,39105000,40376605,39260936,38195031,36745495,49900000
Turkey,31052000,29856000,30629000,30993000,31031557,30191076,29470054,30492687,32342122,28200000
Turkmenistan,3553000,3686000,3839000,4215000,4213000,4397000,5259000,5390475,5498285,5400000
Ukraine,12000000,12700000,13090000,13521000,13873126,13901869,15021507,15348976,15473887,13300000
United Arab Emirates,12783000,14640000,15850000,16330000,17350000,18260000,19507000,20656000,22917000,29800000
United Kingdom,78570000,78441000,78039000,79031000,81699000,83009945,82317014,79241214,78681719,74400000
United States,897641000,896070000,897358000,912262000,948753153,951374000,943802501,942302743,884529925,833200000
Uzbekistan,6667000,6524000,6295000,7150000,6526000,5478000,5113000,5419780,5517336,4800000
Venezuela,22496000,24802000,26967000,22021000,24202166,25941718,27406137,30009720,32530536,33700000
