country,Oil,coal,EnergyProduced,NaturalGas,EnergyConsumed,Hydro,countrycode,latitude,longitude
United States,833.200,496.235,2.165,532.971,1.686,23.696,US,37.09024,-95.712891
United Kingdom,74.400,29.913,0.197,62.646,0.159,0.452,GB,55.378051,-3.435973
Russia,135.200,91.910,0.647,541.509,1.182,14.977,RU,61.52401,105.318756
Romania,9.200,6.608,0.035,10.368,0.028,1.336,RO,45.943161,24.96676
Poland,25.300,51.914,0.094,3.650,0.068,0.204,PL,51.919438,19.145136
Pakistan,20.600,4.677,0.084,33.750,0.065,2.416,PK,30.375321,69.345116
Norway,10.300,0.493,0.028,89.308,0.214,10.772,NO,60.472024,8.468946
New Zealand,6.800,1.605,0.017,3.431,0.015,2.082,NZ,-40.900557,174.885971
Netherlands,49.400,7.934,0.078,60.769,0.063,0.008,NL,52.132633,5.291266
Mexico,88.500,8.391,0.175,49.412,0.220,2.297,MX,23.634501,-102.552784
Malaysia,24.500,10.623,0.070,56.285,0.090,0.598,MY,4.210484,101.975766
Kazakhstan,12.100,32.591,0.063,27.189,0.146,0.591,KZ,48.019573,66.923684
Italy,75.100,12.935,0.165,7.539,0.027,4.225,IT,41.87194,12.56738
Iran,85.100,0.973,0.213,104.670,0.350,0.622,IR,32.427908,53.688046
Indonesia,59.200,34.621,0.199,62.701,0.352,0.979,ID,-0.789275,113.921327
India,151.000,253.824,0.675,27.522,0.502,8.961,IN,20.593684,78.96288
Germany,113.900,71.725,0.317,11.724,0.127,1.604,DE,51.165691,10.451526
Egypt,34.400,1.156,0.071,52.983,0.088,1.106,EG,26.820553,30.802498
China,388.200,1579.460,2.249,68.474,2.085,52.936,CN,35.86166,104.195397
Canada,97.100,25.187,0.251,157.650,0.390,31.698,CA,56.130366,-106.346771
Brazil,107.000,11.262,0.240,12.466,0.230,33.619,BR,-14.235004,-51.92528
Bangladesh,4.800,0.628,0.029,15.565,0.025,0.133,BD,23.684994,90.356331
Australia,42.200,54.473,0.126,34.431,0.311,0.945,AU,-25.274398,133.775136
Argentina,23.700,1.158,0.075,39.654,0.081,2.912,AR,-38.416097,-63.616672
Algeria,14.900,0.192,0.041,77.855,0.152,0.026,DZ,28.033886,1.659626
